Company,Role,First Posted,Days Open,Tier,LinkedIn Band,Assoc. Employees,LinkedIn URL,B2B,Entity Risk,Primary ATS Link,Notes
Ajax,Founding SDR NYC,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,MEDIUM,NEEDED,Ajax is a common name - confirm entity
Opus Training,Founding Enterprise BDR NYC,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,
Sitemate,Founding SDR Austin,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,Scaling N. America alongside CRO
Humaans,Founding US BDR SF,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,Agentic AI
Composio,Founding BDR SF,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,
Netic,Founding SDR,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,
EnableComp,Founding SDR,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,Healthcare finance
Arcana Analytics,SDR,2026-07-20,40,DROPPED,201-500,,linkedin.com/company/arcanaanalytics,Yes,MEDIUM,-,DROP ON SIZE
Pallet,SDR NYC,2026-06-11,79,DROPPED,201-500,,linkedin.com/company/trypallet,Yes,MEDIUM,-,DROP ON SIZE
Axion,BDR,2026-08-07,22,DROPPED,201-500,,linkedin.com/company/axion-ray,Yes,HIGH,-,DROP ON SIZE - but entity unresolved (axion-ray vs axionhq)
Swap,BDR,~2026-08-11,~18,DROPPED,201-500,,linkedin.com/company/sw-ap,Yes,MEDIUM,-,DROP ON SIZE
